Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_random_replay_apdu_size_diff_incremento_anomalo,0.3138,0.2876,0.249,33.653,0.6455
rule_masquerade_fake_normal_unusual_delay,0.3144,1.2797,0.234,550.036,0.728
rule_grayhole_stnum_zero,0.3166,0.3569,0.231,55.867,0.695
rule_random_replay_goose_length_diff_alternancia,0.3192,0.2773,0.259,31.149,0.66
rule_random_replay_frame_length_diff_frequencia_irregular,0.3202,0.4767,0.248,112.325,0.674
rule_grayhole_sqdiff_zero,0.3217,1.2979,0.233,372.698,0.723
rule_grayhole_goose_length,0.3244,1.1999,0.237,406.02,0.784
rule_masquerade_fake_normal_frequencia_anomalia_go_id,0.3272,0.7743,0.262,318.185,0.636
rule_random_replay_goose_length_diff_incremento_anomalo,0.3311,0.5703,0.252,202.745,0.714
rule_grayhole_frame_length,0.3315,0.83,0.235,306.576,0.81
rule_random_replay_sq_num_incremento_anomalia,0.3347,0.8121,0.258,318.337,0.67
rule_masquerade_fake_normal_mudancas_anomalias_t_diff,0.335,0.7768,0.266,303.953,0.63
rule_grayhole_apdu_size,0.3358,1.1711,0.238,357.24,0.807
rule_random_replay_apdu_size_diff_alternancia,0.336,1.1504,0.256,344.472,0.72
rule_random_replay_goose_length_diff_frequencia_irregular,0.3387,0.6154,0.248,177.364,0.745
rule_random_replay_cb_status_alterado,0.3392,0.2863,0.261,32.163,0.683
rule_random_replay_apdu_size_diff_frequencia_irregular,0.3396,0.4368,0.251,41.643,0.766
rule_high_StNum_frequencia,0.3404,0.6794,0.268,276.391,0.696
rule_inverse_replay_go_id,0.3408,1.47,0.257,624.407,0.722
rule_random_replay_cb_status_diff_incremento_anomalo,0.3408,1.3123,0.249,533.856,0.757
rule_masquerade_fake_normal_mudancas_anomalias_estado_disjuntor,0.3415,0.7726,0.26,315.536,0.671
rule_random_replay_goose_length_diff_anomalia,0.3417,0.3759,0.267,50.928,0.743
rule_masquerade_fake_fault_timestamp_anomaly,0.3419,0.8594,0.265,317.541,0.695
rule_random_replay_goose_length_diff_desvio,0.3421,0.7354,0.277,303.954,0.679
rule_grayhole_combined,0.3422,0.5045,0.234,94.736,0.788
rule_random_replay_frame_length_diff_anomalia,0.3427,0.3497,0.264,44.759,0.745
rule_grayhole_delay_out_of_range,0.3431,0.275,0.274,28.437,0.702
rule_masquerade_fake_normal_mudancas_anomalias_go_id,0.3433,1.4921,0.262,635.564,0.715
rule_random_replay_frame_length_diff_alternancia,0.3434,1.1797,0.255,390.974,0.73
rule_grayhole_delay_anomalous,0.3449,0.5176,0.27,161.875,0.751
rule_inverse_replay_cb_status,0.3457,0.3513,0.258,39.579,0.753
rule_random_replay_t_diff_anomalia,0.3462,0.3652,0.263,80.653,0.6785
rule_inverse_replay_flood,0.3466,0.6124,0.262,149.17,0.752
rule_inverse_replay_delay,0.3471,0.7714,0.267,305.81,0.709
rule_random_replay_timestamp_diff_alternancia,0.3478,0.3298,0.263,44.104,0.764
